hotelId,hotelName,city,phone,agent,dogFriendly,weightSizeLimit,maxDogs,dogFee,areasPermitted,areasNotPermitted,allowedInRoomWithoutOwners,dogAmenetiesProvided,walkTypesNearHotel,grassAreaNearHotel,enclosedGarden,dogsAllowedAtBreakfast
YXEDICRI,Cringletie,Peebles Scotland ,(0) 1721 725 750,Leigh Carrick,Y,N/A,3,N/A,"Garden room bar, library bar",Restaurant & Maguire Lounge,Yes,No,28 acres grounds ,Yes-28 aceres,N/A,Y- in garden room or library bar
WBBOHB07,Chewton Glen,Hampshire,01425 282 212,Emma,Y- Treehouses only & 1 year old or above dogs only ,N/A,N/A,£35,Outside in the resturant terrace and in the grounds on a lead. ,All areas of the hotel ,No,?,Beaches ,?,N/A,Outside on the terrace
,The Gallivant,Camber East Sussex,(0) 1797 338 908,Lily ,Y-Garden rooms and one luxury garden room,,,£25,Lounge area and by the bar,The snug,?,Beds,Beaches ,Y ,N/A,In the bar area
,The Fish Hotel,Broadway,01386 858000,N/A,Y,Medium Size,2,£30,All but the restuarant,The Hook ,Yes,"Bed, bowl treat toy",Country Walks,Y- Pooch Play area,"Some rooms- Treehouse, Veranda , Hideaway",Yes in the dog friendly area of the Hook
PMBHX406,The Lygon Arms,Broadway,01386 852255,Jason,Y ,N,2,£25 per dog,All but the spa and grill room,spa and the grill room,No,Dog bed and bowl,Country Walks,Y,N/A,Y in the Russel Room
,The Montagu Arms,Brockenhurst,01590 624467,Becca,"Y- courtyard, snug and hayloft roms",N,2,£30 per 3  nights,"Conservatory, lounge & gastro pub",Terrace Restuarant ,Yes,Dog hamper,Country Walks,Y,N/A,Y in the conservatory 
TGBRS819,Travelodge Bristol Centre,Bristol,,N/A,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,City Centre-0.2 miles to Brandon Hill Park,N,N/A,Dogs not permitted in resturant 
TGGLA111,Travelodge Glasgow Centre,Glasgow,,N/a,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,City Centre- 0.3 miles to George's Square,Y,N/A,Dogs not permitted in resturant 
TGNCL320,Travelodge Newcastle Central,Newcastle,,N/A,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,City Centre-0.4 miles to Leazes Park,Y,N/A,Dogs not permitted in resturant 
TGEMA555,Travelodge Nottingham Riverside,Nottingham ,,N/a,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,0.1 miles to The meadows- Industrail Estate ,Y,N/A,Dogs not permitted in resturant 
TGMAN213,Travelodge Chester central,Chester,,N/A,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,City Centre 0.2 miles to Grosvenor park ,Y,N/A,Dogs not permitted in resturant 
TGINV120,Travelodge Inverness Fairways ,Inverness ,,N/a,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,Industrial Estate,Y,N/A,Dogs not permitted in resturant 
,Travelodge Swansea M4,Swansea,,N/a,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,Industrial estate 0.5 miles to Penllergaer Valley Woods,Y,N/A,Dogs not permitted in resturant 
,Travelodge Canterbury Chaucer Central,Canterbury,,N/a,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,city Centre 0.3 miles to Dane John Gardens ,Y,N/A,Dogs not permitted in resturant 
,Travelodge Exeter M5,Exeter,,N/a,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,Industrail estate- noise near motorway 0.4 miles to Ludwell Valley Parlk,Y,N/A,Dogs not permitted in resturant 
,Travelodge Scarborough St Nicholas,Scarborough ,,N/a,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,0.2 miles to Valley Gardens- Beaches near by ,N,N/A,Dogs not permitted in resturant 
